id,title,client_id,jd_text,required_skills,location,remote_ok,rate_min,rate_max,visa_requirement,min_yoe,max_yoe,status
1,Senior Software Engineer,5,"Atlas Manufacturing is seeking an experienced Senior Software Engineer to join our financial services technology team. The ideal candidate has strong hands-on experience with Django, Docker, CI/CD, and a track record of delivering production systems at scale. Responsibilities include designing and building scalable services, collaborating with cross-functional teams, and mentoring junior engineers. Required: Django, Docker, CI/CD, Node.js, FastAPI, Salesforce. Location: Charlotte, NC.","['Django', 'Docker', 'CI/CD', 'Node.js', 'FastAPI', 'Salesforce']","Charlotte, NC",False,71.0,98.0,,5.8,10.5,open
2,Data Engineer,6,"Pinnacle Insurance is seeking an experienced Data Engineer to join our insurance technology team. The ideal candidate has strong hands-on experience with dbt, Node.js, C#, and a track record of delivering production systems at scale. Responsibilities include designing and building scalable services, collaborating with cross-functional teams, and mentoring junior engineers. Required: dbt, Node.js, C#, Airflow, SAP. Location: Seattle, WA.","['dbt', 'Node.js', 'C#', 'Airflow', 'SAP']","Seattle, WA",True,56.0,77.0,gc,2.8,16.0,open
3,DevOps Engineer,5,"Atlas Manufacturing is seeking an experienced DevOps Engineer to join our financial services technology team. The ideal candidate has strong hands-on experience with Airflow, TensorFlow, dbt, and a track record of delivering production systems at scale. Responsibilities include designing and building scalable services, collaborating with cross-functional teams, and mentoring junior engineers. Required: Airflow, TensorFlow, dbt, JavaScript. Location: Denver, CO.","['Airflow', 'TensorFlow', 'dbt', 'JavaScript']","Denver, CO",True,88.0,114.0,,5.3,14.2,filled
4,ML Engineer,3,"Vertex Technologies is seeking an experienced ML Engineer to join our retail technology team. The ideal candidate has strong hands-on experience with JavaScript, Snowflake, SAP, and a track record of delivering production systems at scale. Responsibilities include designing and building scalable services, collaborating with cross-functional teams, and mentoring junior engineers. Required: JavaScript, Snowflake, SAP, Redis, .NET, Machine Learning, TensorFlow. Location: Chicago, IL.","['JavaScript', 'Snowflake', 'SAP', 'Redis', '.NET', 'Machine Learning', 'TensorFlow']","Chicago, IL",True,67.0,106.0,,5.3,10.9,closed
5,Cloud Architect,8,"BrightPath Energy is seeking an experienced Cloud Architect to join our telecom technology team. The ideal candidate has strong hands-on experience with Machine Learning, Tableau, Airflow, and a track record of delivering production systems at scale. Responsibilities include designing and building scalable services, collaborating with cross-functional teams, and mentoring junior engineers. Required: Machine Learning, Tableau, Airflow, dbt, Snowflake, Kubernetes, SQL. Location: Austin, TX.","['Machine Learning', 'Tableau', 'Airflow', 'dbt', 'Snowflake', 'Kubernetes', 'SQL']","Austin, TX",False,95.0,112.0,,3.5,15.5,filled
6,Backend Developer (Python),9,"Horizon Bank is seeking an experienced Backend Developer (Python) to join our insurance technology team. The ideal candidate has strong hands-on experience with Machine Learning, Node.js, Kubernetes, and a track record of delivering production systems at scale. Responsibilities include designing and building scalable services, collaborating with cross-functional teams, and mentoring junior engineers. Required: Machine Learning, Node.js, Kubernetes, Kafka. Location: Dallas, TX.","['Machine Learning', 'Node.js', 'Kubernetes', 'Kafka']","Dallas, TX",True,77.0,105.0,citizen,5.3,15.1,closed
7,Full Stack Developer,7,"Coastal Telecom is seeking an experienced Full Stack Developer to join our manufacturing technology team. The ideal candidate has strong hands-on experience with Power BI, Airflow, SAP, and a track record of delivering production systems at scale. Responsibilities include designing and building scalable services, collaborating with cross-functional teams, and mentoring junior engineers. Required: Power BI, Airflow, SAP, Redis. Location: San Francisco, CA.","['Power BI', 'Airflow', 'SAP', 'Redis']","San Francisco, CA",False,74.0,90.0,h1b,4.6,14.3,open
8,QA Automation Engineer,5,"Atlas Manufacturing is seeking an experienced QA Automation Engineer to join our financial services technology team. The ideal candidate has strong hands-on experience with GCP, Rust, .NET, and a track record of delivering production systems at scale. Responsibilities include designing and building scalable services, collaborating with cross-functional teams, and mentoring junior engineers. Required: GCP, Rust, .NET, Python, Node.js, Java, Spark. Location: Austin, TX.","['GCP', 'Rust', '.NET', 'Python', 'Node.js', 'Java', 'Spark']","Austin, TX",False,66.0,103.0,,2.4,10.3,open
9,Business Analyst,1,"Meridian Financial is seeking an experienced Business Analyst to join our healthcare technology team. The ideal candidate has strong hands-on experience with Snowflake, Go, React, and a track record of delivering production systems at scale. Responsibilities include designing and building scalable services, collaborating with cross-functional teams, and mentoring junior engineers. Required: Snowflake, Go, React, Azure, Scala. Location: New York, NY.","['Snowflake', 'Go', 'React', 'Azure', 'Scala']","New York, NY",False,85.0,117.0,gc,3.7,12.9,open
10,Data Scientist,7,"Coastal Telecom is seeking an experienced Data Scientist to join our manufacturing technology team. The ideal candidate has strong hands-on experience with Node.js, dbt, SAP, and a track record of delivering production systems at scale. Responsibilities include designing and building scalable services, collaborating with cross-functional teams, and mentoring junior engineers. Required: Node.js, dbt, SAP, React, TensorFlow. Location: Dallas, TX.","['Node.js', 'dbt', 'SAP', 'React', 'TensorFlow']","Dallas, TX",False,80.0,107.0,,4.5,15.8,open
